nodes,percentile,delay
1000,50,5.394
1000,90,27.95
1000,95,46.603
1000,99,110.428
1000,99.9,272.194
1000,99.99,429.222
1500,50,4.663
1500,90,21.099
1500,95,34.465
1500,99,88.977
1500,99.9,207.833
1500,99.99,351.347
2000,50,5.133
2000,90,20.359
2000,95,33.155
2000,99,85.15
2000,99.9,182.377
2000,99.99,270.163
500,50,4.531
500,90,28.655
500,95,46.741
500,99,101.355
500,99.9,217.975
500,99.99,422.355
