nodes,percentile,delay
1000,50,2.104
1000,90,14.753
1000,95,30.282
1000,99,96.306
1000,99.9,121.932
1000,99.99,208.906
1500,50,2.587
1500,90,15.612
1500,95,27.169
1500,99,79.313
1500,99.9,126.763
1500,99.99,286.526
2000,50,3.044
2000,90,16.441
2000,95,29.154
2000,99,78.635
2000,99.9,116.163
2000,99.99,186.414
500,50,1.762
500,90,9.218
500,95,19.154
500,99,76.542
500,99.9,106.051
500,99.99,128.78
