nodes,percentile,delay
1000,50,6.322
1000,90,40.55
1000,95,69.555
1000,99,122.235
1000,99.9,303.55
1000,99.99,700.602
1500,50,8.697
1500,90,43.686
1500,95,69.427
1500,99,117.739
1500,99.9,235.538
1500,99.99,342.136
2000,50,7.49
2000,90,32.712
2000,95,51.893
2000,99,102.086
2000,99.9,201.237
2000,99.99,467.486
500,50,2.531
500,90,17.697
500,95,39.635
500,99,91.14
500,99.9,128.964
500,99.99,344.927
