nodes,percentile,delay
4000,50,6.501
4000,90,13.777
4000,95,17.835
4000,99,38.798
4000,99.9,143.671
4000,99.99,220.236
5000,50,6.731
5000,90,13.067
5000,95,16.537
5000,99,44.081
5000,99.9,150.586
5000,99.99,454.171
6000,50,7.402
6000,90,13.56
6000,95,17.273
6000,99,47.776
6000,99.9,160.611
6000,99.99,341.611
7000,50,7.618
7000,90,13.684
7000,95,17.433
7000,99,48.717
7000,99.9,162.411
7000,99.99,367.583
