nodes,percentile,delay
1000,50,3.702
1000,90,11.631
1000,95,15.16
1000,99,34.002
1000,99.9,172.003
1000,99.99,463.085
1500,50,4.721
1500,90,13.202
1500,95,16.942
1500,99,37.001
1500,99.9,172.457
1500,99.99,583.017
2000,50,4.694
2000,90,12.885
2000,95,16.501
2000,99,35.754
2000,99.9,147.216
2000,99.99,252.903
2500,50,5.701
2500,90,13.874
2500,95,17.66
2500,99,39.05
2500,99.9,147.854
2500,99.99,318.819
3000,50,6.216
3000,90,14.522
3000,95,18.351
3000,99,42.689
3000,99.9,146.515
3000,99.99,225.288
3500,50,6.254
3500,90,14.036
3500,95,18.072
3500,99,46.483
3500,99.9,139.838
3500,99.99,279.206
